curricula,problem_set_name,question_id,academic_year,number_of_students,incorrect_count,percent_correct,correct_answer,first_common_wrong_answer,second_common_wrong_answer,third_common_wrong_answer,first_common_wrong_answer_count,second_common_wrong_answer_count,third_common_wrong_answer_count
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072679,19_20,107,54.0,50.46,17-2/x,"""2/x-17""","""(2/x)-17""","""2x-17""",14.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072680,18_19,173,40.0,77.45,13+2x,"""13+x^2""","""13-2x""","""13x2""",9.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072680,19_20,122,19.0,85.24,13+2x,"""13+x^2""","""35+1/2x+14""","""13+X^2""",7.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072682,18_19,120,53.0,56.66,35+x/2+14,"""35+x+14""","""35+14x""","""35+1/2x+4""",10.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072682,19_20,100,32.0,68.0,35+x/2+14,"""35+x+14""","""(x-35)/2-14""","""35x-1/2-14""",9.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072686,18_19,126,72.0,43.65,(15x)^4,"""15x^4""","""4(15x)""","""(15x)4""",21.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072686,19_20,111,64.0,43.24,(15x)^4,"""15x^4""","""15x+x^4""","""15(x)^4""",23.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072687,18_19,147,91.0,38.77,(x+5)/2,"""x+5/2""","""X+5/2""","""5+x/2""",56.0,7.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072687,19_20,92,55.0,41.3,(x+5)/2,"""x+5/2""","""4x""","""5+x/2""",50.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072688,18_19,131,47.0,64.88,8(x-3),"""(3-x)8""","""8x-3x""","""(x-3)x8""",8.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072688,19_20,105,33.0,69.52,8(x-3),"""8(3-x)""","""(3-x)^8""","""(x-3)x8""",9.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072691,18_19,133,51.0,62.4,5((1/2)+x),"""5(1/2x)""","""5*1/2x""","""(1/2x)5""",7.0,5.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 2 (8.EE.C.7.B),1072691,19_20,91,17.0,82.41,5((1/2)+x),"""5(1/2x)""","""(1/2x)x5""","""(1/5+x)5""",7.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075464,17_18,74,25.0,67.56,-6/11,"""6/11""","""12/14""","""-1""",9.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075464,18_19,124,50.0,60.48,-6/11,"""6/11""","""-1/2""","""-11/6""",14.0,3.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075464,19_20,244,103.0,58.19,-6/11,"""6/11""",""".54""","""4/9""",24.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075468,16_17,242,50.0,79.75,-1,"""n""","""1""","""8""",11.0,10.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075468,17_18,135,45.0,67.4,-1,"""n""","""1""","""-14.2/15.6""",15.0,7.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075468,18_19,213,78.0,63.84,-1,"""n""","""-71/78""","""1""",19.0,8.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 6 (8.EE.C.7.A),1075468,19_20,328,55.0,83.53,-1,"""n""","""1""","""-16""",13.0,9.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075484,18_19,167,60.0,64.67,-3/11,"""3/11""","""-11/3""","""-3""",12.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075484,19_20,188,74.0,61.17,-3/11,"""3/11""","""1/11""","""2""",19.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075489,18_19,164,48.0,71.34,-17/3,"""17/3""","""34/6""","""5 2/3""",12.0,5.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075489,19_20,144,43.0,70.83,-17/3,"""17/3""","""34/6""","""5 2/3""",19.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075492,18_19,149,39.0,74.49,-3,"""3""","""3/5""","""9/5""",9.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075492,19_20,178,30.0,83.7,-3,"""3""","""-3/5""","""-1""",7.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075493,16_17,48,32.0,35.41,14,"""10""","""4.5""","""45/4.5""",10.0,4.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075493,17_18,58,34.0,43.1,14,"""10""","""9""","""4.5""",9.0,3.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075493,18_19,149,95.0,36.91,14,"""10""","""8.5""","""4.5""",37.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 8 (8.EE.C.7.B),1075493,19_20,118,65.0,45.76,14,"""10""","""2""","""36/22.5""",42.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077575,17_18,64,22.0,67.18,156,"""52""","""59""","""48.75""",10.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077575,18_19,126,29.0,77.77,156,"""52""","""22.22""","""22.28""",7.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077575,19_20,54,13.0,77.77,156,"""52""","""146""","""1556""",7.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077578,17_18,61,19.0,70.49,-1,"""1""","""0""","""1.5""",8.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077578,18_19,103,30.0,71.84,-1,"""1""","""0""","""-3""",12.0,5.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077578,19_20,46,16.0,67.39,-1,"""1""","""0.5""","""12""",10.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077581,17_18,50,23.0,54.0,38,"""6""","""101""","""32""",12.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077581,18_19,48,21.0,56.25,38,"""6""","""36""","""39""",10.0,4.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077585,17_18,44,15.0,68.18,101,"""11""","""38""","""56""",7.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.4 Lesson 9 (8.EE.C.7.A),1077585,18_19,47,19.0,61.7,101,"""11""","""99""","""38""",6.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456497,17_18,51,23.0,56.86,111,"""111.1""","""112""","""111 1/9""",15.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456497,18_19,175,45.0,74.85,111,"""111.1""","""112""","""11""",14.0,6.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456497,19_20,144,30.0,79.86,111,"""112""","""111.1""","""11""",7.0,6.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456498,18_19,165,63.0,62.42,"180x+35000 , 180x+35,000","""194x""","""180x""","""35,000x""",12.0,10.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456498,19_20,131,38.0,71.75,"180x+35000 , 180x+35,000","""194x""","""35,000x""","""35000x""",8.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456499,18_19,164,86.0,48.17,4.8,"""250""","""444""","""444.4""",21.0,16.0,7.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456499,19_20,136,75.0,45.58,4.8,"""250""","""444""","""5""",28.0,11.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456494,18_19,106,46.0,57.54,3x+1,"""3.5x""","""3x""","""2x+1""",24.0,5.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 3 (8.F.A.1, 8.F.A.2)",1456494,19_20,105,40.0,62.85,3x+1,"""3.5x""","""58x""","""3x""",19.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 5 (8.F.A.2, 8.F.A.3)",1456521,18_19,27,20.0,29.62,"1/16x , x/16","""16x""","""4x""","""1/2x+8""",7.0,3.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.5 Lesson 5 (8.F.A.2, 8.F.A.3)",1456521,19_20,128,32.0,75.78,"1/16x , x/16","""16x""","""1/2x""","""8x+1/2""",6.0,4.0,3.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.5 Lesson 7 (8.F.A.2),1456711,18_19,26,17.0,38.46,"30340 , 30342","""30316""","""30,340""","""23320""",7.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.5 Lesson 7 (8.F.A.2),1456711,19_20,69,48.0,31.88,"30340 , 30342","""30316""","""30320""","""116.6""",7.0,4.0,4.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.5 Lesson 7 (8.F.A.2),1456718,18_19,26,13.0,50.0,66.6,"""66.7""","""213.3""","""80""",6.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,Problem Set---8.5 Lesson 7 (8.F.A.2),1456718,19_20,35,28.0,20.0,66.6,"""66.7""","""213.3""","""4.0""",16.0,3.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.6 Lesson 3 (8.F.B.4, 8.F.B.5)",1275597,16_17,50,20.0,60.0,120,"""0""","""0 $""","""100""",18.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.6 Lesson 3 (8.F.B.4, 8.F.B.5)",1275597,19_20,97,14.0,86.59,120,"""0""","""140""","""160""",11.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 16 (8.G.B.6, 8.G.B.7, 8.G.B.8)",1278268,18_19,57,21.0,64.91,1.4,"""2""","""1.41""","""17""",10.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 16 (8.G.B.6, 8.G.B.7, 8.G.B.8)",1278268,19_20,27,16.0,44.44,1.4,"""2""","""1""","""1.414""",7.0,4.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458079,17_18,116,18.0,85.34,4,"""8""","""16""","""64""",7.0,4.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458079,18_19,124,25.0,80.64,4,"""8""","""64""","""16""",16.0,3.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458079,19_20,57,25.0,57.89,4,"""8""","""16""","""24""",12.0,2.0,2.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458082,17_18,74,31.0,59.45,5^-1,"""5""","""5^-3""","""5^3""",9.0,6.0,5.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458082,18_19,79,12.0,86.07,5^-1,"""5""","""1/4""","""125^-1/3""",6.0,1.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458084,17_18,115,16.0,86.95,9,"""27""","""13.5""","""3""",6.0,2.0,1.0
EngageNY/Eureka Math (© by Great Minds®) *,"Problem Set---8.7 Lesson 3 (8.NS.A.1,8.NS.A.2,8.EE.A.2)",1458084,18_19,125,24.0,81.6,9,"""27""","""81""","""26""",11.0,4.0,1.0
Kendall Hunt Illustrative Mathematics,Cool Down---6.1 Lesson 12 What is Surface Area? (6.G.A.4),1620839,18_19,26,18.0,34.61,62,"""30""","""47""","""32""",7.0,2.0,1.0
Kendall Hunt Illustrative Mathematics,Cool Down---6.1 Lesson 12 What is Surface Area? (6.G.A.4),1620839,19_20,53,21.0,62.26,62,"""30""","""10""","""52""",11.0,2.0,2.0
Kendall Hunt Illustrative Mathematics,"Cool Down---6.2 Lesson 13 (6.RP.A.3, 6.RP.A.3.a)",1624312,18_19,87,51.0,42.52,57,"""19""","""126""","""60""",13.0,8.0,3.0
Kendall Hunt Illustrative Mathematics,"Cool Down---6.2 Lesson 13 (6.RP.A.3, 6.RP.A.3.a)",1624312,19_20,62,27.0,58.06,57,"""19""","""17""","""126""",7.0,2.0,2.0
Kendall Hunt Illustrative Mathematics,Cool Down---6.3 Lesson 12 (6.RP.A.3.c),1627231,18_19,112,55.0,51.78,48,"""27""","""45""","""72""",8.0,6.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---6.3 Lesson 12 (6.RP.A.3.c),1627231,19_20,72,34.0,54.16,48,"""45""","""12""","""40""",7.0,5.0,2.0
Kendall Hunt Illustrative Mathematics,Cool Down---6.4 Lesson 4 (6.NS.A.1),1627869,18_19,128,50.0,61.71,4,"""9""","""2""","""5""",8.0,8.0,6.0
Kendall Hunt Illustrative Mathematics,Cool Down---6.4 Lesson 4 (6.NS.A.1),1627869,19_20,61,31.0,50.81,4,"""2""","""9""","""6""",7.0,7.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.1 Lesson 11 Scales without Units (7.G.A.1),1601436,18_19,235,59.0,75.31,13.75,"""165""","""1980""","""13""",16.0,9.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.1 Lesson 11 Scales without Units (7.G.A.1),1601436,19_20,69,28.0,60.86,13.75,"""165""","""1980""","""60""",7.0,2.0,2.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2  Lesson 8 Comparing Relationships with Equations (7.RP.A.2),1601471,18_19,329,81.0,75.68,6t,"""10t""","""60t""","""4t""",17.0,9.0,6.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2  Lesson 8 Comparing Relationships with Equations (7.RP.A.2),1601471,19_20,78,47.0,41.02,6t,"""10t""","""6t""","""60t""",13.0,11.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2  Lesson 8 Comparing Relationships with Equations (7.RP.A.2),1601474,18_19,325,211.0,35.38,4t+2,"""14t""","""4t""","""5t""",61.0,25.0,21.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2  Lesson 8 Comparing Relationships with Equations (7.RP.A.2),1601474,19_20,68,54.0,22.05,4t+2,"""14t""","""5t""","""4t""",17.0,6.0,6.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 11 Interpreting Graphs of Proportional Relationships (7.RP.A),1601481,18_19,540,408.0,24.62,5/12,"""2.4""","""1/2""","""1""",93.0,55.0,38.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 11 Interpreting Graphs of Proportional Relationships (7.RP.A),1601481,19_20,178,153.0,14.6,5/12,"""2.4""","""0.5""",""".5""",51.0,20.0,11.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 11 Interpreting Graphs of Proportional Relationships (7.RP.A),1601482,18_19,492,381.0,22.76,"(1,5/12)","""(12,5)""","""1,5/12""","""(5,12)""",49.0,32.0,27.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 11 Interpreting Graphs of Proportional Relationships (7.RP.A),1601482,19_20,153,138.0,10.45,"(1,5/12)","""12,5""","""(12,5)""","""5,12""",17.0,14.0,9.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 13 Two Graphs for Each Relationship (7.RP.A.2),1601491,18_19,272,98.0,64.33,0.25,"""4""","""25""","""4.00""",47.0,18.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 13 Two Graphs for Each Relationship (7.RP.A.2),1601491,19_20,72,25.0,66.66,0.25,"""4""","""25""","""40""",16.0,5.0,1.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 13 Two Graphs for Each Relationship (7.RP.A.2),1601493,18_19,203,97.0,52.7,4c,""".25c""","""0.25c""","""1/4c""",37.0,23.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 13 Two Graphs for Each Relationship (7.RP.A.2),1601493,19_20,62,34.0,46.77,4c,"""0.25c""",""".25c""","""25c""",16.0,6.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 2 Introducing Proportional Relationships with Tables (7.RP.A.2),1601450,18_19,612,172.0,72.05,5,"""2""","""1/5""","""1""",60.0,34.0,18.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 2 Introducing Proportional Relationships with Tables (7.RP.A.2),1601450,19_20,128,31.0,76.56,5,"""2""","""1/5""","""3""",14.0,7.0,3.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.2 Lesson 3 More about Constant of Proportionality (7.RP.A.2.a, 7.RP.A.2.b)",1601453,18_19,792,286.0,64.01,4.8,"""2.4""","""1.6""","""3.2""",50.0,34.0,12.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.2 Lesson 3 More about Constant of Proportionality (7.RP.A.2.a, 7.RP.A.2.b)",1601453,19_20,158,63.0,60.75,4.8,"""1.6""","""2.4""","""3.2""",13.0,9.0,4.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.2 Lesson 3 More about Constant of Proportionality (7.RP.A.2.a, 7.RP.A.2.b)",1601455,18_19,748,353.0,52.94,25,"""64""","""50""","""5""",108.0,59.0,18.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.2 Lesson 3 More about Constant of Proportionality (7.RP.A.2.a, 7.RP.A.2.b)",1601455,19_20,135,62.0,54.81,25,"""64""","""50""","""20""",12.0,6.0,5.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.2 Lesson 3 More about Constant of Proportionality (7.RP.A.2.a, 7.RP.A.2.b)",1601457,18_19,692,207.0,70.23,1.6,"""0.8""","""25""","""0.5""",38.0,16.0,15.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.2 Lesson 3 More about Constant of Proportionality (7.RP.A.2.a, 7.RP.A.2.b)",1601457,19_20,106,28.0,74.52,1.6,"""0.8""",""".8""","""2""",7.0,4.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 4 Proportional Relationships and Equations (7.RP.A.2),1601459,18_19,563,146.0,74.24,13,"""3.25""","""14""","""2""",18.0,17.0,14.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 4 Proportional Relationships and Equations (7.RP.A.2),1601459,19_20,145,39.0,73.79,13,"""2""","""3.25""","""8""",9.0,3.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 4 Proportional Relationships and Equations (7.RP.A.2),1601461,18_19,539,87.0,84.04,48,"""12""","""96""","""24""",35.0,5.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 4 Proportional Relationships and Equations (7.RP.A.2),1601461,19_20,127,31.0,76.37,48,"""12""","""96""","""4""",11.0,3.0,2.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 5 Two Equations for Each Relationship (7.RP.A),1601462,18_19,474,323.0,32.06,50,"""50""","""1/50""","""50, 1/50""",52.0,15.0,14.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 5 Two Equations for Each Relationship (7.RP.A),1601462,19_20,144,119.0,18.05,50,"""50""","""50,0.02""","""t=1/50d""",14.0,9.0,5.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 5 Two Equations for Each Relationship (7.RP.A),1601464,18_19,372,124.0,66.93,d/50,"""50d""","""d""","""8d""",57.0,8.0,7.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 5 Two Equations for Each Relationship (7.RP.A),1601464,19_20,90,36.0,60.0,d/50,"""50d""","""d""","""100d""",23.0,8.0,1.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 6 Using Equations to Solve Problems (7.RP.A.2.c),1601465,18_19,563,164.0,71.04,700,"""3500""","""875""","""350""",38.0,37.0,18.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 6 Using Equations to Solve Problems (7.RP.A.2.c),1601465,19_20,282,87.0,69.5,700,"""875""","""3500""","""350""",21.0,17.0,6.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 6 Using Equations to Solve Problems (7.RP.A.2.c),1601466,18_19,538,169.0,68.77,1/2,"""1""","""2""","""10""",32.0,22.0,16.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 6 Using Equations to Solve Problems (7.RP.A.2.c),1601466,19_20,267,122.0,54.68,1/2,"""2""","""1""","""10""",23.0,20.0,11.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 6 Using Equations to Solve Problems (7.RP.A.2.c),1601467,18_19,433,88.0,79.9,350s,"""1/2s""","""5s""","""1750s""",9.0,8.0,8.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.2 Lesson 6 Using Equations to Solve Problems (7.RP.A.2.c),1601467,19_20,210,69.0,67.61,350s,"""1/2s""","""1s""","""5s""",11.0,8.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.3 Lesson 2 Exploring Circles (7.G.A),1601549,18_19,485,267.0,45.15,"EB , BE","""8""","""4""","""a""",59.0,17.0,12.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.3 Lesson 2 Exploring Circles (7.G.A),1601549,19_20,113,54.0,53.09,"EB , BE","""HG""","""8""","""E to B""",7.0,6.0,4.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.3 Lesson 5 Circumference and Wheels (7.RP.A.3, 7.G.B.4)",1601556,18_19,188,52.0,72.87,75,"""3""","""235.5""","""60""",18.0,8.0,3.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.3 Lesson 5 Circumference and Wheels (7.RP.A.3, 7.G.B.4)",1601556,19_20,125,21.0,83.2,75,"""3""","""235.5""","""15.7""",10.0,2.0,2.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.3 Lesson 5 Circumference and Wheels (7.RP.A.3, 7.G.B.4)",1601557,18_19,192,81.0,58.33,8,"""200""","""600""","""7""",41.0,11.0,3.0
Kendall Hunt Illustrative Mathematics,"Cool Down---7.3 Lesson 5 Circumference and Wheels (7.RP.A.3, 7.G.B.4)",1601557,19_20,125,45.0,64.8,8,"""200""","""600""","""2.66""",20.0,5.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.3 Lesson 9 Applying Area of Circles (7.G.B.4),1601565,18_19,317,264.0,17.03,30.69,"""40.5""","""32.65""","""30.69""",22.0,15.0,14.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.3 Lesson 9 Applying Area of Circles (7.G.B.4),1601565,19_20,135,104.0,23.7,30.69,"""30.7""","""40.5""","""30.68""",7.0,6.0,6.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 10 Tax and Tip (7.RP.A.3),1601589,18_19,207,52.0,75.36,5.61,"""8.5""","""71.61""","""23.87""",6.0,5.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 10 Tax and Tip (7.RP.A.3),1601589,19_20,194,60.0,69.58,5.61,"""67.87""","""71.61""","""561""",8.0,7.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 10 Tax and Tip (7.RP.A.3),1601590,18_19,199,71.0,64.82,8.5,"""0.085""",""".085""","""85""",12.0,7.0,4.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 10 Tax and Tip (7.RP.A.3),1601590,19_20,177,107.0,40.11,8.5,"""0.085""",""".085""","""1.87""",28.0,10.0,6.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 11 Percentage Contexts (7.RP.A.3),1601609,18_19,180,89.0,51.11,96.15,"""37.5""","""162.5""","""87.5""",18.0,11.0,7.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 11 Percentage Contexts (7.RP.A.3),1601609,19_20,148,100.0,33.1,96.15,"""162.5""","""37.5""","""87.5""",22.0,16.0,15.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 11 Percentage Contexts (7.RP.A.3),1601610,18_19,171,43.0,75.43,100,"""19.23""","""12""","""80""",8.0,2.0,2.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 11 Percentage Contexts (7.RP.A.3),1601610,19_20,124,50.0,60.48,100,"""76.92""","""19.23""","""104.16""",12.0,4.0,3.0
Kendall Hunt Illustrative Mathematics,Cool Down---7.4 Lesson 12 Finding the Percentage (7.RP.A.3),1601622,18_19,227,113.0,50.66,"14.3 , 14 , 14.29","""12""","""14""","""14.29""",10.0,9.0,9.0
